index,Autofocus,Format,Lens Elements,Lens Groups,Price,VR,Url,Diameter (In.),Length (In.),Weight (oz.),Min. Focal Length (mm),Max. Focal Length (mm),Max. Aperture (Upper Bound),Max. Aperture (Lower Bound),Min. Aperture (Upper Bound),Min. Aperture (Lower Bound),name,Lens Type,Focal Length Group,Max. Aperture,Focal Length
0,Yes,FX,15,13,"$1,249.95",No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-fisheye-nikkor-8-15mm-f%252f3.5-4.5e-ed.html,3.0,3.2,17.2,8.0,15.0,3.5,4.5,29.0,29.0,8-15mm f3.5-4.5,Zoom,Ultra Wide Angle,3.5,8.0
0,Yes,FX,15,13,"$1,249.95",No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-fisheye-nikkor-8-15mm-f%252f3.5-4.5e-ed.html,3.0,3.2,17.2,8.0,15.0,3.5,4.5,29.0,29.0,8-15mm f3.5-4.5,Zoom,Ultra Wide Angle,4.5,15.0
1,Yes,DX,14,9,$899.95,No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-dx-nikkor-10-24mm-f3.5-4.5g-ed.html,3.25,3.42,16.2,10.0,24.0,3.5,4.5,22.0,22.0,10-24mm f3.5-4.5,Zoom,Wide Angle,3.5,10.0
1,Yes,DX,14,9,$899.95,No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-dx-nikkor-10-24mm-f3.5-4.5g-ed.html,3.25,3.42,16.2,10.0,24.0,3.5,4.5,22.0,22.0,10-24mm f3.5-4.5,Zoom,Wide Angle,4.5,24.0
2,Yes,DX,14,11,$309.95,Yes,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-p-dx-nikkor-10-20mm-f%252f4.5-5.6g-vr.html,3.0,2.8,8.2,10.0,20.0,4.5,5.6,29.0,29.0,10-20mm f4.5-5.6,Zoom,Ultra Wide Angle,4.5,10.0
2,Yes,DX,14,11,$309.95,Yes,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-p-dx-nikkor-10-20mm-f%252f4.5-5.6g-vr.html,3.0,2.8,8.2,10.0,20.0,4.5,5.6,29.0,29.0,10-20mm f4.5-5.6,Zoom,Ultra Wide Angle,5.6,20.0
3,Yes,DX,10,7,$774.95,No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-dx-fisheye-nikkor-10.5mm-f%252f2.8g-ed.html,2.5,2.5,10.8,10.5,10.5,2.8,2.8,22.0,22.0,10.5mm f2.8,Prime,Ultra Wide Angle,2.8,10.5
3,Yes,DX,10,7,$774.95,No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-dx-fisheye-nikkor-10.5mm-f%252f2.8g-ed.html,2.5,2.5,10.8,10.5,10.5,2.8,2.8,22.0,22.0,10.5mm f2.8,Prime,Ultra Wide Angle,2.8,10.5
4,Yes,DX,11,7,"$1,149.95",No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-dx-zoom-nikkor-12-24mm-f%252f4g-if-ed.html,3.2,3.5,16.4,12.0,24.0,4.0,4.0,22.0,22.0,12-24mm f4,Zoom,Wide Angle,4.0,12.0
4,Yes,DX,11,7,"$1,149.95",No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-dx-zoom-nikkor-12-24mm-f%252f4g-if-ed.html,3.2,3.5,16.4,12.0,24.0,4.0,4.0,22.0,22.0,12-24mm f4,Zoom,Wide Angle,4.0,24.0
5,Yes,FX,14,11,"$1,899.95",No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-nikkor-14-24mm-f2.8g-ed.html,3.8,5.2,35.3,14.0,24.0,2.8,2.8,22.0,22.0,14-24mm f2.8,Zoom,Wide Angle,2.8,14.0
5,Yes,FX,14,11,"$1,899.95",No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-nikkor-14-24mm-f2.8g-ed.html,3.8,5.2,35.3,14.0,24.0,2.8,2.8,22.0,22.0,14-24mm f2.8,Zoom,Wide Angle,2.8,24.0
6,Yes,FX,14,12,"$1,894.95",No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-nikkor-14mm-f%252f2.8d-ed.html,3.4,3.4,23.6,14.0,14.0,2.8,2.8,22.0,22.0,14mm f2.8,Prime,Ultra Wide Angle,2.8,14.0
6,Yes,FX,14,12,"$1,894.95",No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-nikkor-14mm-f%252f2.8d-ed.html,3.4,3.4,23.6,14.0,14.0,2.8,2.8,22.0,22.0,14mm f2.8,Prime,Ultra Wide Angle,2.8,14.0
7,Yes,DX,17,11,$699.95,Yes,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-dx-nikkor-16-85mm-f3.5-5.6g-ed-vr.html,2.8,3.4,17.1,16.0,85.0,3.5,5.6,22.0,22.0,16-85mm f3.5-5.6,Zoom,Short Telephoto,3.5,16.0
7,Yes,DX,17,11,$699.95,Yes,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-dx-nikkor-16-85mm-f3.5-5.6g-ed-vr.html,2.8,3.4,17.1,16.0,85.0,3.5,5.6,22.0,22.0,16-85mm f3.5-5.6,Zoom,Short Telephoto,5.6,85.0
8,Yes,DX,17,13,"$1,069.95",Yes,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-dx-nikkor-16-80mm-f%252f2.8-4e-ed-vr.html,3.1,3.3,16.1,16.0,80.0,2.8,4.0,22.0,32.0,16-80mm f2.8-4,Zoom,Standard,2.8,16.0
8,Yes,DX,17,13,"$1,069.95",Yes,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-dx-nikkor-16-80mm-f%252f2.8-4e-ed-vr.html,3.1,3.3,16.1,16.0,80.0,2.8,4.0,22.0,32.0,16-80mm f2.8-4,Zoom,Standard,4.0,80.0
9,Yes,FX,17,12,"$1,099.95",Yes,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-nikkor-16-35mm-f%252f4g-ed-vr.html,3.2,4.9,24.0,16.0,35.0,4.0,4.0,22.0,22.0,16-35mm f4,Zoom,Standard,4.0,16.0
9,Yes,FX,17,12,"$1,099.95",Yes,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-nikkor-16-35mm-f%252f4g-ed-vr.html,3.2,4.9,24.0,16.0,35.0,4.0,4.0,22.0,22.0,16-35mm f4,Zoom,Standard,4.0,35.0
10,Yes,FX,8,5,$999.95,No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-fisheye-nikkor-16mm-f%252f2.8d.html,2.5,2.2,10.12,16.0,16.0,2.8,2.8,22.0,22.0,16mm f2.8,Prime,Ultra Wide Angle,2.8,16.0
10,Yes,FX,8,5,$999.95,No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-fisheye-nikkor-16mm-f%252f2.8d.html,2.5,2.2,10.12,16.0,16.0,2.8,2.8,22.0,22.0,16mm f2.8,Prime,Ultra Wide Angle,2.8,16.0
11,Yes,DX,14,10,"$1,499.95",No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-dx-zoom-nikkor-17-55mm-f%252f2.8g-if-ed.html,3.4,4.4,26.6,17.0,55.0,2.8,2.8,22.0,22.0,17-55mm f2.8,Zoom,Standard,2.8,17.0
11,Yes,DX,14,10,"$1,499.95",No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-dx-zoom-nikkor-17-55mm-f%252f2.8g-if-ed.html,3.4,4.4,26.6,17.0,55.0,2.8,2.8,22.0,22.0,17-55mm f2.8,Zoom,Standard,2.8,55.0
12,Yes,FX,13,10,"$1,954.95",No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-zoom-nikkor-17-35mm-f%252f2.8d-if-ed.html,3.2,4.2,26.3,17.0,35.0,2.8,2.8,22.0,22.0,17-35mm f2.8,Zoom,Standard,2.8,17.0
12,Yes,FX,13,10,"$1,954.95",No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-zoom-nikkor-17-35mm-f%252f2.8d-if-ed.html,3.2,4.2,26.3,17.0,35.0,2.8,2.8,22.0,22.0,17-35mm f2.8,Zoom,Standard,2.8,35.0
13,Yes,DX,16,12,$699.95,Yes,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-dx-nikkor-18-300mm-f%252f3.5-6.3g-ed-vr.html,3.0,3.8,19.4,18.0,300.0,3.5,6.3,22.0,22.0,18-300mm f3.5-6.3,Zoom,Super Telephoto,3.5,18.0
13,Yes,DX,16,12,$699.95,Yes,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-dx-nikkor-18-300mm-f%252f3.5-6.3g-ed-vr.html,3.0,3.8,19.4,18.0,300.0,3.5,6.3,22.0,22.0,18-300mm f3.5-6.3,Zoom,Super Telephoto,6.3,300.0
14,Yes,DX,19,14,$999.95,Yes,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-dx-nikkor-18-300mm-f%252f3.5-5.6g-ed-vr.html,3.3,4.7,29.3,18.0,300.0,3.5,5.6,22.0,32.0,18-300mm f3.5-5.6,Zoom,Super Telephoto,3.5,18.0
14,Yes,DX,19,14,$999.95,Yes,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-dx-nikkor-18-300mm-f%252f3.5-5.6g-ed-vr.html,3.3,4.7,29.3,18.0,300.0,3.5,5.6,22.0,32.0,18-300mm f3.5-5.6,Zoom,Super Telephoto,5.6,300.0
15,Yes,DX,16,12,$649.95,Yes,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-dx-nikkor-18-200mm-f%252f3.5-5.6g-ed-vr-ii.html,3.0,3.8,19.8,18.0,200.0,3.5,5.6,22.0,22.0,18-200mm f3.5-5.6,Zoom,Medium Telephoto,3.5,18.0
15,Yes,DX,16,12,$649.95,Yes,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-dx-nikkor-18-200mm-f%252f3.5-5.6g-ed-vr-ii.html,3.0,3.8,19.8,18.0,200.0,3.5,5.6,22.0,22.0,18-200mm f3.5-5.6,Zoom,Medium Telephoto,5.6,200.0
16,Yes,DX,17,12,$499.95,Yes,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-dx-nikkor-18-140mm-f%252f3.5-5.6g-ed-vr.html,3.0,3.8,17.3,18.0,140.0,3.5,5.6,22.0,38.0,18-140mm f3.5-5.6,Zoom,Medium Telephoto,3.5,18.0
16,Yes,DX,17,12,$499.95,Yes,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-dx-nikkor-18-140mm-f%252f3.5-5.6g-ed-vr.html,3.0,3.8,17.3,18.0,140.0,3.5,5.6,22.0,38.0,18-140mm f3.5-5.6,Zoom,Medium Telephoto,5.6,140.0
17,Yes,DX,15,11,$399.95,Yes,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-dx-nikkor-18-105mm-f3.5-5.6g-ed-vr.html,3.0,3.5,14.8,18.0,105.0,3.5,5.6,22.0,22.0,18-105mm f3.5-5.6,Zoom,Short Telephoto,3.5,18.0
