Autofocus,Aspherical Elements,Diaphragm Blades,ED Glass Elements,Filter Size,Format,Lens Elements,Lens Groups,Maximum Aperture,Maximum Reproduction Ratio,Minimum Focus Distance,Price,VR,Url,Zoom Ratio,Diameter (In.),Length (In.),Weight (oz.),Min. Focal Length (mm),Max. Focal Length (mm),Focal Length Diff,Max. Aperture (Upper Bound),Max. Aperture (Lower Bound),Min. Aperture (Upper Bound),Min. Aperture (Lower Bound),Max. Aperture Diff,Focal Length Label,Maximum Aperture Label,name,Lens Type,Focal Length Group,Weight (lbs.),Price Range
Yes,2,7,3,,FX,15,13,3.5-4.5,0.34x,"0.5,0.16",1249.95,No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-fisheye-nikkor-8-15mm-f%252f3.5-4.5e-ed.html,2,3.0,3.2,17.2,8,15,7,3.5,4.5,29.0,29.0,-1.0,8 - 15mm,f/3.5 - 4.5,8 - 15mm f/3.5 - 4.5,Zoom,Ultra Wide Angle,1.075,$1 - 2k
Yes,3,7,2,77,DX,14,9,3.5-4.5,0.20x,"0.79,0.24",899.95,No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-dx-nikkor-10-24mm-f3.5-4.5g-ed.html,2.4,3.25,3.42,16.2,10,24,14,3.5,4.5,22.0,22.0,-1.0,10 - 24mm,f/3.5 - 4.5,10 - 24mm f/3.5 - 4.5,Zoom,Wide Angle,1.0125,$500 - $1k
Yes,3,7,,72,DX,14,11,4.5-5.6,0.17x,"0.8,0.22",279.95,Yes,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-p-dx-nikkor-10-20mm-f%252f4.5-5.6g-vr.html,2,3.0,2.8,8.2,10,20,10,4.5,5.6,29.0,29.0,-1.0999999999999996,10 - 20mm,f/4.5 - 5.6,10 - 20mm f/4.5 - 5.6,Zoom,Ultra Wide Angle,0.5125,< $500
Yes,1,7,1,,DX,10,7,2.8,0.20x,"0.46,0.14",774.95,No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-dx-fisheye-nikkor-10.5mm-f%252f2.8g-ed.html,,2.5,2.5,10.8,10,10,0,2.8,2.8,22.0,22.0,0.0,10.5mm,f/2.8,10.5mm f/2.8,Prime,Ultra Wide Angle,0.675,$500 - $1k
Yes,3,7,2,77,DX,11,7,4,0.12x,1.0,1149.95,No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-dx-zoom-nikkor-12-24mm-f%252f4g-if-ed.html,2.0,3.2,3.5,16.4,12,24,12,4.0,4.0,22.0,22.0,0.0,12 - 24mm,f/4.0,12 - 24mm f/4.0,Zoom,Wide Angle,1.025,$1 - 2k
Yes,3,9,2,,FX,14,11,2.8,0.15x,"0.9,0.28",1599.95,No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-nikkor-14-24mm-f2.8g-ed.html,1.7,3.8,5.2,35.3,14,24,10,2.8,2.8,22.0,22.0,0.0,14 - 24mm,f/2.8,14 - 24mm f/2.8,Zoom,Wide Angle,2.20625,$1 - 2k
Yes,2,7,1,,FX,14,12,2.8,0.15x,"0.66,0.2",1894.95,No,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-nikkor-14mm-f%252f2.8d-ed.html,,3.4,3.4,23.6,14,14,0,2.8,2.8,22.0,22.0,0.0,14mm,f/2.8,14mm f/2.8,Prime,Ultra Wide Angle,1.475,$1 - 2k
Yes,3,7,2,67,DX,17,11,3.5-5.6,0.22x,"1.3,0.38",699.95,Yes,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-dx-nikkor-16-85mm-f3.5-5.6g-ed-vr.html,5.3,2.8,3.4,17.1,16,85,69,3.5,5.6,22.0,22.0,-2.0999999999999996,16 - 85mm,f/3.5 - 5.6,16 - 85mm f/3.5 - 5.6,Zoom,Short Telephoto,1.06875,$500 - $1k
Yes,3,7,4,72,DX,17,13,2.8-4,0.22x,"1.15,0.35",1069.95,Yes,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-dx-nikkor-16-80mm-f%252f2.8-4e-ed-vr.html,5,3.1,3.3,16.1,16,80,64,2.8,4.0,22.0,32.0,-1.2000000000000002,16 - 80mm,f/2.8 - 4.0,16 - 80mm f/2.8 - 4.0,Zoom,Standard,1.00625,$1 - 2k
Yes,3,9,2,77,FX,17,12,4,0.25x,0.95 ft (0.29m) at a focal length of 16mm or 35mm,999.95,Yes,https://www.nikonusa.com/en/nikon-products/product/camera-lenses/af-s-nikkor-16-35mm-f%252f4g-ed-vr.html,2.2,3.2,4.9,24.0,16,35,19,4.0,4.0,22.0,22.0,0.0,16 - 35mm,f/4.0,16 - 35mm f/4.0,Zoom,Standard,1.5,$500 - $1k
